name,activity,governorate,phone,linkedin_url,website,description,size,sector,headquarters,type,founded,error
BERTELLI ET PARTNERS TUNISIE,Composants électroniques.,Ben Arous,(216) - 79 396 060,https://fr.linkedin.com/company/bertelli-&-partners,http://www.bertelli-partners.it/,"Bertelli & Partners, azienda che dal 1995 sviluppa e produce sistemi di controllo per caldaie residenziali alimentate a gas, con miscele gas e idrogeno o 100% idrogeno, nonché sistemi di controllo per caldaie ibride (caldaia più pompa di calore). I sistemi di controllo Bertelli&Partners si compongono di: controllo elettronico gestione caldaia, controllo elettronico pompa di calore, control panel, attuatori di controllo flusso del gas (valvole di sicurezza e regolazione) e dell'aria comburente (ventilatore con motore brushless), sensori pressione, portata e temperatura, dispositivi per il comfort ambiente (Smart thermostat) e non ultimo dispositivi per la connettività ed App dedicate. L'azienda, che è stata la prima a sviluppare e produrre un sistema di controllo per caldaia alimentata 100% idrogeno, sta investendo per ampliare le applicazioni ai sistemi di controllo per caldaie full electric (basate su pompa di calore), caldaie o apparecchi produzione calore carbon neutral (per esempio alimentati a bio metano, pellet ,...) e zero carbon (alimentati 100% idrogeno) per riscaldamento sia residenziale che commerciale ed estendere le applicazioni dei propri sistemi per il comfort ambiente. Bertelli & Partners ha quindi l’obiettivo di strutturare e far crescere la propria organizzazione, in particolare il team dedicato allo sviluppo ed all'ingegneria di prodotto e processo dei controlli elettronici e degli attuatori, nonché l'ampliamento dell'area (già ampia) dedicata ai laboratori di: supporto allo sviluppo, applicazione sistemi di controllo e qualifica, analisi e qualifica dei materiali e dei componenti ""meccanici"" (plastica e gomma principalmente ), analisi e qualifica dei componenti elettronici. Pertanto è alla ricerca di nuovi talenti su cui investire in formazione e crescita professionale, per aumentare il know how interno e consolidare la leadership nel proprio mercato di riferimento.",51-200 employés,"Fabrication d’appareils électroménagers, électriques et électroniques","Angiari, Verona",Société civile/Société commerciale/Autres types de sociétés,1995,
BESTRANSFO,"Moteurs, génératrices et transformateurs électriques.",Zaghouan,(216) - 71 832 440 / 98 192 281,https://fr.linkedin.com/company/bestransfo-sarl,http://www.bestransfo.tn,"La société Bestransfo, filiale du Groupe Horchani, opère dans le secteur de la fabrication des transformateurs de distribution électrique monophasés et triphasés de type immergés dans l'huile minérale, munis d'un conservateur et à refroidissement naturel (ONAN). Notre usine se situe dans la zone industrielle de Djebel Oust à 35 kilomètres de la capitale Tunis. Elle s'étend sur une surface de 10000 m² extensible. Elle est dotée d'un équipement ultra moderne ainsi que de compétences hautement qualifiées et expérimentées, capables de répondre tant aux exigences du marché local qu'international. Notre capacité de production dépasse les 6000 transformateurs par an soit 20 à 25 transformateurs produits par jour ouvrable.",11-50 employés,"Fabrication d’appareils électroménagers, électriques et électroniques","Djebel Oust, Zaghouane",Société civile/Société commerciale/Autres types de sociétés,2003,
BFR ELECTRIC,Matériel de distribution et commande électrique.,Monastir,(216) - 71 341 715 / 73 595 990,https://fr.linkedin.com/company/bfr-groupe,http://www.bfrgroupe.com,"BFR Groupe is a machinery company based out of Lisses, IDF, France.",2-10 employés,Fabrication de machines,"Lisses, IDF",,,
BIEFFE MEDITAL MANUFACTURING,Matériel médicochirurgical et orthopédie.,Manouba,(216) - 71 629 723,https://fr.linkedin.com/company/soci%C3%A9t%C3%A9-bouzguenda-fr%C3%A8res-sbf,http://www.sbf.com.tn/,"La Société Bouzguenda Frères ""SBF"" est active dans le secteur du BTP (Bâtiment et Travaux Publics) en Tunisie et en Afrique. Les méthodes d’organisation de SBF en tant que « Entreprise Générale », sa maîtrise des risques et son strict respect des budgets et des délais, lui permettent aujourd’hui de figurer parmi les meilleurs spécialistes du BTP en Tunisie et dans plusieurs pays en Afrique.",1 001-5 000 employés,Construction,"Tunis, Tunis",Société civile/Société commerciale/Autres types de sociétés,1973,
BIOSERVICE TUNISIE,Matériel médicochirurgical et orthopédie.,Sousse,(216) - 73 380 252,https://fr.linkedin.com/company/bioservice-tunisie,http://www.bioservicetunisie.com,"BioService Tunisie is a global provider of medical devices for Urology, Infusion, Transfusion, Aspiration and Drainage, Thoracentesis and Paracentesis, Artroscopy, Ozone Therapy, and Personal Patient Hygene. We develop and distribute worldwide sterile single use medical disposable used daily, for common diagnostic and therapeutic procedures and for surgery, by hospitals, university clinics. We serve hospitals, clinics and patients with medical devices that enable healthcare professionals to improve patients care and safety. BioService Tunisie, your resources to develop everything from the raw material to finished medical devices. One of BioService Tunisie’s competitive advantages is the strong ability to cooperate with its customers, whose needs are to interpret and give shape to the demands of healthcare professionals. Whether you need a component or a finished device, BioService Tunisie is your ideal BtoB Partner. On request, we will work closely with your team and create product configuration for customized sets, in order to suit the healthcare professionals needs and preferences and, consequently, care patients in the best way. For a true introduction to BioService Tunisie, we welcome you to visit our company and meet our Sales and Product Specialists Team. www.bioservicetunisie.com",11-50 employés,Fabrication d’équipements médicaux,Enfidha,Société civile/Société commerciale/Autres types de sociétés,2007,
BISMA CABLE TECHNIC,"Fils, câbles isolés et faisceaux de câbles.",Tunis,(216) - 71 591 888,https://fr.linkedin.com/company/cable-bahamas,http://www.cablebahamas.com,"Founded in March 1995, Cable Bahamas Ltd. has grown from a cable TV service provider to incorporate broadband Internet (March 2000) and telephone (2011). Through launching its REV suite of products – REVTV, REVON and REVOICE, Cable Bahamas Ltd. became the first communications provider in The Bahamas to offer ‘triple play’ service and continues to revolutionize every area of business, delivering unbeatable services at the lowest rates in the country. In 2016, Cable Bahamas Group Ltd. launched ALIV mobile, breaking the decades long monopoly in the telecommunications industry in The Bahamas. ALIV ignited the cellular revolution in The Bahamas and continuously reinvents how consumers interact with their mobile devices. A true digital lifestyle partner, the aliv network is built on next-generation lte technology to ensure an unsurpassed consumer experience and continues to evolve the digital landscape entering the smart home business as the only official authorized-distributor of RING devices in The Bahamas. The ALIV network continues to operate as the nation's fastest and most awarded. In 2022, Cable Bahamas and ALIV launched ALIVFibr - the nation's fastest direct to home fibre network with an impressive 1Gbps speed. As of 2023, ALIVFibr continues to roll out to homes across New Providence transforming the future of home.",501-1 000 employés,Télécommunications,"Nassau, New Providence",Société cotée en bourse,1995,
BM EQUIPMENT,Appareils électroménagers.,Medenine,(216) - 70 083 738,https://fr.linkedin.com/company/bm-test-equipment,http://www.bmtest.dk,"Since the foundation in 1977, BM Test Equipment has developed and manufactured roller brake testers and test line systems to workshops and vehicle inspection bodies all over the world. BM is mainly trading internationally through our network of international distributors. These companies import and handle all marketing, sales and after sales support to the end-user. Key staff of the distributor is trained and certified by BM Test Equipment in order to provide excellent service to the end-user on the individual markets. At BM Test Equipment we have always focused on quality over quantity and on doing what we do best. Therefore our product range is limited to equipment, which is designed for testing the ""under body"" systems of the vehicle. This includes roller brake testers, play detectors, suspension tester, side slip and test lane systems. Today we have one of the widest and deepest product ranges in the industry including advanced mobile roller brake tester systems for both light and heavy vehicles.",11-50 employés,Fabrication de machines,Møldrup,Société civile/Société commerciale/Autres types de sociétés,1977,
BOMACO,Réparation de matériels électriques.,Tunis,(216) - 71 854 452,https://fr.linkedin.com/company/bomaco-sarl,,electromagnetic components production,201-500 employés,Biens et équipements pour les entreprises,"Tunisi, tunisia",Partenariat,,
BSI,Appareils ménagers non électriques.,Beja,(216) - 78 440 440,https://fr.linkedin.com/company/bsi/life,,,,,,,,
BUTITEC,"Fils, câbles isolés et faisceaux de câbles.",Bizerte,(216) - 72 494 257,https://fr.linkedin.com/company/nse-anjou,https://www.nse-groupe.com/nse-dans-le-monde/nse-anjou-2-2-2/,"NSE Anjou conçoit, industrialise et produit des équipements électriques et électroniques intégrés à destination des grands programmes aéronautique, défense et industrie.",201-500 employés,Fabrication d’équipements électriques,"Longué-Jumelles, Pays de la Loire",Société indépendante,1978,
C2 ETN,"Fils, câbles isolés et faisceaux de câbles.",Zaghouan,(216) - 72 670 940,https://fr.linkedin.com/company/c2etn,http://www.c2e-cablage.com/,C2E Tunisia : electrical and electronic wiring production site : whose objective is to ensure customer satisfaction and aiming for well-being at work,501-1 000 employés,Industrie manufacturière,,Partenariat,,
C2T IMPLANTS,Matériel médicochirurgical et orthopédie.,Sousse,(216) - 31 387 900 / 31 387 901,https://fr.linkedin.com/company/medicare-htm,http://www.medicare-htm.com,"A la recherche de solutions innovantes et de liberté d'entreprendre? Partenaire du développement des spécialistes de la chirurgie réfractive ou de la médecine esthétique depuis 1993, Medicare-HTM vous propose des produits et des services adaptés à votre activité chirurgicale ou de consultation. Notre activité comprend la distribution de dispositifs médicaux implantables ophtalmologiques (DMI) et en particulier des implants intraoculaires, ainsi qu'une gamme de matériels de diagnostic et de traitement. Nous proposons également la location multi-site: service avec assistance technique qui vous donne accès à des hautes technologies médicales en temps et coûts partagés, à destination des ophtalmologistes, dermatologues et plasticiens. Nous créons et gérons également des centres laser où nous accueillons une patientèle pour une pratique de la chirurgie réfractive et de la médecine esthétique en toute confiance : les centres laser HTM (www.center-laser.com).",11-50 employés,Fabrication d’équipements médicaux,"Saint-Herblain, Pays de la Loire",Société indépendante,1993,
